"case","countries","outcome","predictors","complete_observations","events","term","estimate","standard_error","z_value","p_value","odds_ratio","or_ci_lower","or_ci_upper","aic","pseudo_r_squared","converged"
"NZL_AUS_Q167_COMBINED","NZL;AUS","Q167","Q165;Q260;Q262",1625,443,"(Intercept)",-2.98880358163251,0.310500786540029,-9.62575204699911,6.22498806265276e-22,0.0503476375420433,0.0273955704676241,0.0925289951184142,1396.90489170901,0.270529023343391,TRUE
"NZL_AUS_Q167_COMBINED","NZL;AUS","Q167","Q165;Q260;Q262",1625,443,"Q165",3.7002669681242,0.251083026743417,14.7372246388663,3.71750995078472e-49,40.4581039425493,24.7333683822864,66.1801558658064,1396.90489170901,0.270529023343391,TRUE
"NZL_AUS_Q167_COMBINED","NZL;AUS","Q167","Q165;Q260;Q262",1625,443,"Q260",0.194244816350156,0.133811205314223,1.45163341062521,0.146603563665671,1.21439354996339,0.93424148325039,1.57855513872256,1396.90489170901,0.270529023343391,TRUE
"NZL_AUS_Q167_COMBINED","NZL;AUS","Q167","Q165;Q260;Q262",1625,443,"Q262",-0.0153739120166613,0.00390155481610237,-3.94045777678441,8.13262648236387e-05,0.984743663266853,0.977242138416116,0.992302771466562,1396.90489170901,0.270529023343391,TRUE
"ALL_Q167_Q165_Q260_Q262","ALL","Q167","Q165;Q260;Q262",58157,35105,"(Intercept)",-1.64199341246034,0.0427668256342802,-38.3940914039731,1.67982319586024e-322,0.193593745210159,0.178027926519584,0.210520556618251,63548.5571390424,0.186488729367901,TRUE
"ALL_Q167_Q165_Q260_Q262","ALL","Q167","Q165;Q260;Q262",58157,35105,"Q165",3.12743919009657,0.0349715147142761,89.4281879309016,0,22.8154785660072,21.3040305128921,24.43415868565,63548.5571390424,0.186488729367901,TRUE
"ALL_Q167_Q165_Q260_Q262","ALL","Q167","Q165;Q260;Q262",58157,35105,"Q260",-0.0107581677272388,0.0194594432526474,-0.552850746424884,0.580365616345272,0.989299494394345,0.952278280304051,1.02775996245175,63548.5571390424,0.186488729367901,TRUE
"ALL_Q167_Q165_Q260_Q262","ALL","Q167","Q165;Q260;Q262",58157,35105,"Q262",-0.0133644910710097,0.000583294501689467,-22.912081345359,3.52113506186184e-116,0.986724417227682,0.985597002712345,0.987853121381162,63548.5571390424,0.186488729367901,TRUE
"NZL_Q263_Q165_Q260_Q262","NZL","Q263","Q165;Q260;Q262",754,572,"(Intercept)",1.30111816532074,0.325370369622878,3.99888338581292,6.36420255089339e-05,3.67340184260891,1.94138951050324,6.95063047589286,840.750763141749,0.00080090348300943,TRUE
"NZL_Q263_Q165_Q260_Q262","NZL","Q263","Q165;Q260;Q262",754,572,"Q165",-0.0700097295110109,0.176585577639474,-0.396463462344283,0.691763157046611,0.932384748214143,0.659606982841647,1.31796864089757,840.750763141749,0.00080090348300943,TRUE
"NZL_Q263_Q165_Q260_Q262","NZL","Q263","Q165;Q260;Q262",754,572,"Q260",-0.119276421863388,0.172443281723856,-0.691684945165874,0.48913520336195,0.887562425190482,0.633016340105706,1.24446559859491,840.750763141749,0.00080090348300943,TRUE
"NZL_Q263_Q165_Q260_Q262","NZL","Q263","Q165;Q260;Q262",754,572,"Q262",-0.00110829264392334,0.005294999388958,-0.209309305348465,0.834206788044797,0.998892321285544,0.988579414957195,1.00931281233124,840.750763141749,0.00080090348300943,TRUE
